1, none, minecraft:the_void, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
1199, mountain, minecraft:stony_peaks, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
1200, mountain, minecraft:stony_peaks, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
1201, mountain, minecraft:stony_peaks, WATER_AMBIENT, aquaculture:gar, 6, 1, 2
1202, mountain, minecraft:stony_peaks, WATER_AMBIENT, aquaculture:catfish, 3, 1, 1
1203, mountain, minecraft:stony_peaks, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
1204, river, minecraft:river, MONSTER, minecraft:spider, 80, 4, 4
1205, river, minecraft:river, MONSTER, minecraft:zombie, 80, 4, 4
1206, river, minecraft:river, MONSTER, minecraft:zombie_villager, 5, 1, 1
1207, river, minecraft:river, MONSTER, minecraft:skeleton, 80, 4, 4
1208, river, minecraft:river, MONSTER, minecraft:creeper, 80, 4, 4
1209, river, minecraft:river, MONSTER, minecraft:slime, 80, 4, 4
1210, river, minecraft:river, MONSTER, minecraft:enderman, 5, 1, 4
1211, river, minecraft:river, MONSTER, minecraft:witch, 5, 1, 1
1212, river, minecraft:river, MONSTER, minecraft:drowned, 80, 1, 1
1213, river, minecraft:river, MONSTER, alexsmobs:centipede_head, 8, 1, 1
1214, river, minecraft:river, MONSTER, quark:stoneling, 80, 1, 1
1215, river, minecraft:river, MONSTER, quark:toretoise, 80, 2, 4
1216, river, minecraft:river, CREATURE, alexsmobs:crocodile, 40, 1, 2
1217, river, minecraft:river, CREATURE, alexsmobs:platypus, 30, 1, 2
1218, river, minecraft:river, AMBIENT, minecraft:bat, 10, 8, 8
1219, river, minecraft:river, AMBIENT, alexsmobs:fly, 3, 2, 3
1220, river, minecraft:river, AMBIENT, alexsmobs:cockroach, 4, 5, 5
1221, river, minecraft:river, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1222, river, minecraft:river, WATER_CREATURE, minecraft:squid, 3, 1, 4
1223, river, minecraft:river, WATER_AMBIENT, minecraft:salmon, 5, 1, 5
1224, river, minecraft:river, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
1225, river, minecraft:river, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
1226, river, minecraft:river, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
1227, river, minecraft:river, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
1228, river, minecraft:river, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
1229, river, minecraft:river, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
1230, river, minecraft:river, WATER_AMBIENT, aquaculture:gar, 6, 1, 2
1231, river, minecraft:river, WATER_AMBIENT, aquaculture:catfish, 3, 1, 1
1232, river, minecraft:river, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 1
1233, river, minecraft:river, WATER_AMBIENT, alexsmobs:terrapin, 4, 1, 2
1234, river, minecraft:river, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
1235, river, minecraft:river, WATER_AMBIENT, alexsmobs:catfish, 4, 1, 3
1236, river, minecraft:frozen_river, MONSTER, minecraft:spider, 80, 4, 4
1237, river, minecraft:frozen_river, MONSTER, minecraft:zombie, 80, 4, 4
1238, river, minecraft:frozen_river, MONSTER, minecraft:zombie_villager, 5, 1, 1
1239, river, minecraft:frozen_river, MONSTER, minecraft:skeleton, 80, 4, 4
1240, river, minecraft:frozen_river, MONSTER, minecraft:creeper, 80, 4, 4
1241, river, minecraft:frozen_river, MONSTER, minecraft:slime, 80, 4, 4
1242, river, minecraft:frozen_river, MONSTER, minecraft:enderman, 5, 1, 4
1243, river, minecraft:frozen_river, MONSTER, minecraft:witch, 5, 1, 1
1244, river, minecraft:frozen_river, MONSTER, minecraft:drowned, 3, 1, 1
1245, river, minecraft:frozen_river, MONSTER, alexsmobs:centipede_head, 8, 1, 1
1246, river, minecraft:frozen_river, MONSTER, quark:stoneling, 80, 1, 1
1247, river, minecraft:frozen_river, MONSTER, quark:toretoise, 80, 2, 4
1248, river, minecraft:frozen_river, CREATURE, waddles:adelie_penguin, 8, 1, 4
1249, river, minecraft:frozen_river, CREATURE, alexsmobs:tusklin, 18, 3, 5
1250, river, minecraft:frozen_river, AMBIENT, minecraft:bat, 10, 8, 8
1251, river, minecraft:frozen_river, AMBIENT, alexsmobs:fly, 3, 2, 3
1252, river, minecraft:frozen_river, AMBIENT, alexsmobs:cockroach, 4, 5, 5
1253, river, minecraft:frozen_river, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1254, river, minecraft:frozen_river, WATER_CREATURE, minecraft:squid, 3, 1, 4
1255, river, minecraft:frozen_river, WATER_AMBIENT, minecraft:salmon, 5, 1, 5
1256, river, minecraft:frozen_river, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
1257, river, minecraft:frozen_river, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
1258, river, minecraft:frozen_river, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
1259, river, minecraft:frozen_river, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
1260, river, minecraft:frozen_river, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
1261, river, minecraft:frozen_river, WATER_AMBIENT, aquaculture:pink_salmon, 6, 1, 2
1262, river, minecraft:frozen_river, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 1
1263, river, minecraft:frozen_river, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
1264, beach, minecraft:beach, MONSTER, minecraft:spider, 80, 4, 4
1265, beach, minecraft:beach, MONSTER, minecraft:zombie, 80, 4, 4
1266, beach, minecraft:beach, MONSTER, minecraft:zombie_villager, 5, 1, 1
1267, beach, minecraft:beach, MONSTER, minecraft:skeleton, 80, 4, 4
1268, beach, minecraft:beach, MONSTER, minecraft:creeper, 80, 4, 4
1269, beach, minecraft:beach, MONSTER, minecraft:slime, 80, 4, 4
1270, beach, minecraft:beach, MONSTER, minecraft:enderman, 5, 1, 4
1271, beach, minecraft:beach, MONSTER, minecraft:witch, 5, 1, 1
1272, beach, minecraft:beach, MONSTER, graveyard:ghoul, 12, 2, 3
1273, beach, minecraft:beach, MONSTER, graveyard:revenant, 12, 2, 3
1274, beach, minecraft:beach, MONSTER, graveyard:nightmare, 5, 1, 1
1275, beach, minecraft:beach, MONSTER, graveyard:skeleton_creeper, 8, 1, 2
1276, beach, minecraft:beach, MONSTER, graveyard:acolyte, 7, 1, 2
1277, beach, minecraft:beach, MONSTER, alexsmobs:centipede_head, 8, 1, 1
1278, beach, minecraft:beach, MONSTER, quark:stoneling, 80, 1, 1
1279, beach, minecraft:beach, MONSTER, quark:toretoise, 80, 2, 4
1280, beach, minecraft:beach, CREATURE, minecraft:turtle, 5, 2, 5
1281, beach, minecraft:beach, CREATURE, alexsmobs:seal, 30, 3, 8
1282, beach, minecraft:beach, CREATURE, alexsmobs:seagull, 20, 3, 6
1283, beach, minecraft:beach, CREATURE, quark:crab, 5, 1, 3
1284, beach, minecraft:beach, AMBIENT, minecraft:bat, 10, 8, 8
1285, beach, minecraft:beach, AMBIENT, alexsmobs:fly, 3, 2, 3
1286, beach, minecraft:beach, AMBIENT, alexsmobs:cockroach, 4, 5, 5
1287, beach, minecraft:beach, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1288, beach, minecraft:beach, WATER_AMBIENT, aquaculture:tuna, 3, 1, 1
1289, beach, minecraft:beach, WATER_AMBIENT, aquaculture:atlantic_halibut, 3, 1, 1
1290, beach, minecraft:beach, WATER_AMBIENT, aquaculture:atlantic_herring, 20, 1, 6
1291, beach, minecraft:beach, WATER_AMBIENT, aquaculture:red_grouper, 6, 1, 2
1292, beach, minecraft:beach, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
1293, beach, minecraft:beach, WATER_AMBIENT, alexsmobs:lobster, 7, 3, 5
1294, beach, minecraft:beach, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
1295, beach, minecraft:snowy_beach, MONSTER, minecraft:spider, 80, 4, 4
1296, beach, minecraft:snowy_beach, MONSTER, minecraft:zombie, 80, 4, 4
1297, beach, minecraft:snowy_beach, MONSTER, minecraft:zombie_villager, 5, 1, 1
1298, beach, minecraft:snowy_beach, MONSTER, minecraft:skeleton, 80, 4, 4
1299, beach, minecraft:snowy_beach, MONSTER, minecraft:creeper, 80, 4, 4
1300, beach, minecraft:snowy_beach, MONSTER, minecraft:slime, 80, 4, 4
1301, beach, minecraft:snowy_beach, MONSTER, minecraft:enderman, 5, 1, 4
1302, beach, minecraft:snowy_beach, MONSTER, minecraft:witch, 5, 1, 1
1303, beach, minecraft:snowy_beach, MONSTER, graveyard:ghoul, 12, 2, 3
1304, beach, minecraft:snowy_beach, MONSTER, graveyard:revenant, 12, 2, 3
1305, beach, minecraft:snowy_beach, MONSTER, graveyard:nightmare, 5, 1, 1
1306, beach, minecraft:snowy_beach, MONSTER, graveyard:skeleton_creeper, 8, 1, 2
1307, beach, minecraft:snowy_beach, MONSTER, graveyard:acolyte, 7, 1, 2
1308, beach, minecraft:snowy_beach, MONSTER, alexsmobs:centipede_head, 8, 1, 1
1309, beach, minecraft:snowy_beach, MONSTER, quark:stoneling, 80, 1, 1
1310, beach, minecraft:snowy_beach, MONSTER, quark:toretoise, 80, 2, 4
1311, beach, minecraft:snowy_beach, CREATURE, waddles:adelie_penguin, 8, 1, 4
1312, beach, minecraft:snowy_beach, CREATURE, alexsmobs:seal, 30, 3, 8
1313, beach, minecraft:snowy_beach, CREATURE, alexsmobs:seagull, 20, 3, 6
1314, beach, minecraft:snowy_beach, CREATURE, alexsmobs:tusklin, 18, 3, 5
1315, beach, minecraft:snowy_beach, CREATURE, quark:crab, 5, 1, 3
1316, beach, minecraft:snowy_beach, AMBIENT, minecraft:bat, 10, 8, 8
1317, beach, minecraft:snowy_beach, AMBIENT, alexsmobs:fly, 3, 2, 3
1318, beach, minecraft:snowy_beach, AMBIENT, alexsmobs:cockroach, 4, 5, 5
1319, beach, minecraft:snowy_beach, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1320, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:tuna, 3, 1, 1
1321, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:pollock, 8, 1, 2
1322, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:pacific_halibut, 3, 1, 1
1323, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:atlantic_halibut, 3, 1, 1
1324, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:pink_salmon, 6, 1, 2
1325, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:rainbow_trout, 6, 1, 2
1326, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:atlantic_herring, 20, 1, 6
1327, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:red_grouper, 6, 1, 2
1328, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:atlantic_cod, 5, 1, 1
1329, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:blackfish, 13, 1, 4
1330, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
1331, beach, minecraft:snowy_beach, WATER_AMBIENT, alexsmobs:lobster, 7, 3, 5
1332, beach, minecraft:snowy_beach, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
1333, beach, minecraft:stony_shore, MONSTER, minecraft:spider, 80, 4, 4
1334, beach, minecraft:stony_shore, MONSTER, minecraft:zombie, 80, 4, 4
1335, beach, minecraft:stony_shore, MONSTER, minecraft:zombie_villager, 5, 1, 1
1336, beach, minecraft:stony_shore, MONSTER, minecraft:skeleton, 80, 4, 4
1337, beach, minecraft:stony_shore, MONSTER, minecraft:creeper, 80, 4, 4
1338, beach, minecraft:stony_shore, MONSTER, minecraft:slime, 80, 4, 4
1339, beach, minecraft:stony_shore, MONSTER, minecraft:enderman, 5, 1, 4
1340, beach, minecraft:stony_shore, MONSTER, minecraft:witch, 5, 1, 1
1341, beach, minecraft:stony_shore, MONSTER, graveyard:ghoul, 12, 2, 3
1342, beach, minecraft:stony_shore, MONSTER, graveyard:revenant, 12, 2, 3
1343, beach, minecraft:stony_shore, MONSTER, graveyard:nightmare, 5, 1, 1
1344, beach, minecraft:stony_shore, MONSTER, graveyard:skeleton_creeper, 8, 1, 2
1345, beach, minecraft:stony_shore, MONSTER, graveyard:acolyte, 7, 1, 2
1346, beach, minecraft:stony_shore, MONSTER, alexsmobs:centipede_head, 8, 1, 1
1347, beach, minecraft:stony_shore, MONSTER, quark:stoneling, 80, 1, 1
1348, beach, minecraft:stony_shore, MONSTER, quark:toretoise, 80, 2, 4
1349, beach, minecraft:stony_shore, CREATURE, alexsmobs:seal, 30, 3, 8
1350, beach, minecraft:stony_shore, CREATURE, alexsmobs:seagull, 20, 3, 6
1351, beach, minecraft:stony_shore, CREATURE, quark:crab, 5, 1, 3
1352, beach, minecraft:stony_shore, AMBIENT, minecraft:bat, 10, 8, 8
1353, beach, minecraft:stony_shore, AMBIENT, alexsmobs:fly, 3, 2, 3
1354, beach, minecraft:stony_shore, AMBIENT, alexsmobs:cockroach, 4, 5, 5
1355, beach, minecraft:stony_shore, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1356, beach, minecraft:stony_shore, WATER_AMBIENT, aquaculture:tuna, 3, 1, 1
1357, beach, minecraft:stony_shore, WATER_AMBIENT, aquaculture:atlantic_halibut, 3, 1, 1
1358, beach, minecraft:stony_shore, WATER_AMBIENT, aquaculture:atlantic_herring, 20, 1, 6
1359, beach, minecraft:stony_shore, WATER_AMBIENT, aquaculture:red_grouper, 6, 1, 2
1360, beach, minecraft:stony_shore, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
1361, beach, minecraft:stony_shore, WATER_AMBIENT, alexsmobs:lobster, 7, 3, 5
1362, beach, minecraft:stony_shore, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
1363, ocean, minecraft:warm_ocean, MONSTER, minecraft:drowned, 5, 1, 1
1364, ocean, minecraft:warm_ocean, MONSTER, minecraft:spider, 80, 4, 4
1365, ocean, minecraft:warm_ocean, MONSTER, minecraft:zombie, 80, 4, 4
1366, ocean, minecraft:warm_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
1367, ocean, minecraft:warm_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
1368, ocean, minecraft:warm_ocean, MONSTER, minecraft:creeper, 80, 4, 4
1369, ocean, minecraft:warm_ocean, MONSTER, minecraft:slime, 80, 4, 4
1370, ocean, minecraft:warm_ocean, MONSTER, minecraft:enderman, 5, 1, 4
1371, ocean, minecraft:warm_ocean, MONSTER, minecraft:witch, 5, 1, 1
1372, ocean, minecraft:warm_ocean, MONSTER, quark:stoneling, 80, 1, 1
1373, ocean, minecraft:warm_ocean, MONSTER, quark:toretoise, 80, 2, 4
1374, ocean, minecraft:warm_ocean, AMBIENT, minecraft:bat, 10, 8, 8
1375, ocean, minecraft:warm_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1376, ocean, minecraft:warm_ocean, WATER_CREATURE, minecraft:squid, 10, 4, 4
1377, ocean, minecraft:warm_ocean, WATER_CREATURE, minecraft:dolphin, 3, 1, 2
1378, ocean, minecraft:warm_ocean, WATER_CREATURE, alexsmobs:hammerhead_shark, 8, 2, 3
1379, ocean, minecraft:warm_ocean, WATER_CREATURE, alexsmobs:mantis_shrimp, 15, 1, 4
1380, ocean, minecraft:warm_ocean, WATER_CREATURE, alexsmobs:mimic_octopus, 9, 1, 2
1381, ocean, minecraft:warm_ocean, WATER_AMBIENT, minecraft:pufferfish, 15, 1, 3
1382, ocean, minecraft:warm_ocean, WATER_AMBIENT, minecraft:tropical_fish, 25, 8, 8
1383, ocean, minecraft:warm_ocean, WATER_AMBIENT, aquaculture:tuna, 3, 1, 1
1384, ocean, minecraft:warm_ocean, WATER_AMBIENT, aquaculture:red_grouper, 6, 1, 2
1385, ocean, minecraft:warm_ocean, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
1386, ocean, minecraft:warm_ocean, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
1387, ocean, minecraft:lukewarm_ocean, MONSTER, minecraft:spider, 80, 4, 4
1388, ocean, minecraft:lukewarm_ocean, MONSTER, minecraft:zombie, 80, 4, 4
1389, ocean, minecraft:lukewarm_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
1390, ocean, minecraft:lukewarm_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
1391, ocean, minecraft:lukewarm_ocean, MONSTER, minecraft:creeper, 80, 4, 4
1392, ocean, minecraft:lukewarm_ocean, MONSTER, minecraft:slime, 80, 4, 4
1393, ocean, minecraft:lukewarm_ocean, MONSTER, minecraft:enderman, 5, 1, 4
1394, ocean, minecraft:lukewarm_ocean, MONSTER, minecraft:witch, 5, 1, 1
1395, ocean, minecraft:lukewarm_ocean, MONSTER, minecraft:drowned, 5, 1, 1
1396, ocean, minecraft:lukewarm_ocean, MONSTER, quark:stoneling, 80, 1, 1
1397, ocean, minecraft:lukewarm_ocean, MONSTER, quark:toretoise, 80, 2, 4
1398, ocean, minecraft:lukewarm_ocean, AMBIENT, minecraft:bat, 10, 8, 8
1399, ocean, minecraft:lukewarm_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1400, ocean, minecraft:lukewarm_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 2
1401, ocean, minecraft:lukewarm_ocean, WATER_CREATURE, minecraft:dolphin, 3, 1, 2
1402, ocean, minecraft:lukewarm_ocean, WATER_CREATURE, alexsmobs:cachalot_whale, 3, 1, 2
1403, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, minecraft:cod, 15, 3, 6
1404, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, minecraft:pufferfish, 5, 1, 3
1405, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, minecraft:tropical_fish, 25, 8, 8
1406, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, aquaculture:tuna, 3, 1, 1
1407, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, aquaculture:atlantic_halibut, 3, 1, 1
1408, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, aquaculture:atlantic_herring, 20, 1, 6
1409, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, aquaculture:red_grouper, 6, 1, 2
1410, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
1411, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
1412, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, alexsmobs:flying_fish, 8, 3, 6
1413, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:spider, 80, 4, 4
1414, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:zombie, 80, 4, 4
1415, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
1416, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
1417, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:creeper, 80, 4, 4
1418, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:slime, 80, 4, 4
1419, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:enderman, 5, 1, 4
1420, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:witch, 5, 1, 1
1421, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:drowned, 5, 1, 1
1422, ocean, minecraft:deep_lukewarm_ocean, MONSTER, quark:stoneling, 80, 1, 1
1423, ocean, minecraft:deep_lukewarm_ocean, MONSTER, quark:toretoise, 80, 2, 4
1424, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, minecraft:bat, 10, 8, 8
1425, ocean, minecraft:deep_lukewarm_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1426, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, minecraft:squid, 8, 1, 4
1427, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, minecraft:dolphin, 3, 1, 2
1428, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, alexsmobs:cachalot_whale, 3, 1, 2
1429, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, alexsmobs:frilled_shark, 11, 1, 1
1430, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, alexsmobs:giant_squid, 3, 1, 2
1431, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:cod, 8, 3, 6
1432, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:pufferfish, 5, 1, 3
1433, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:tropical_fish, 25, 8, 8
1434, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, aquaculture:tuna, 3, 1, 1
1435, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, aquaculture:atlantic_halibut, 3, 1, 1
1436, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, aquaculture:atlantic_herring, 20, 1, 6
1437, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, aquaculture:red_grouper, 6, 1, 2
1438, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
1439, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, alexsmobs:blobfish, 30, 2, 2
1440, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
1441, ocean, minecraft:ocean, MONSTER, minecraft:spider, 80, 4, 4
1442, ocean, minecraft:ocean, MONSTER, minecraft:zombie, 80, 4, 4
1443, ocean, minecraft:ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
1444, ocean, minecraft:ocean, MONSTER, minecraft:skeleton, 80, 4, 4
1445, ocean, minecraft:ocean, MONSTER, minecraft:creeper, 80, 4, 4
1446, ocean, minecraft:ocean, MONSTER, minecraft:slime, 80, 4, 4
1447, ocean, minecraft:ocean, MONSTER, minecraft:enderman, 5, 1, 4
1448, ocean, minecraft:ocean, MONSTER, minecraft:witch, 5, 1, 1
1449, ocean, minecraft:ocean, MONSTER, minecraft:drowned, 5, 1, 1
1450, ocean, minecraft:ocean, MONSTER, quark:stoneling, 80, 1, 1
1451, ocean, minecraft:ocean, MONSTER, quark:toretoise, 80, 2, 4
1452, ocean, minecraft:ocean, AMBIENT, minecraft:bat, 10, 8, 8
1453, ocean, minecraft:ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1454, ocean, minecraft:ocean, WATER_CREATURE, minecraft:squid, 3, 1, 4
1455, ocean, minecraft:ocean, WATER_CREATURE, minecraft:dolphin, 3, 1, 2
1456, ocean, minecraft:ocean, WATER_CREATURE, alexsmobs:frilled_shark, 11, 1, 1
1457, ocean, minecraft:ocean, WATER_AMBIENT, minecraft:cod, 10, 3, 6
1458, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:tuna, 3, 1, 1
1459, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:atlantic_halibut, 3, 1, 1
1460, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:atlantic_herring, 20, 1, 6
1461, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:red_grouper, 6, 1, 2
1462, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
1463, ocean, minecraft:ocean, WATER_AMBIENT, alexsmobs:blobfish, 30, 2, 2
1464, ocean, minecraft:ocean, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
1465, ocean, minecraft:ocean, WATER_AMBIENT, alexsmobs:flying_fish, 8, 3, 6
1466, ocean, minecraft:deep_ocean, MONSTER, minecraft:spider, 80, 4, 4
1467, ocean, minecraft:deep_ocean, MONSTER, minecraft:zombie, 80, 4, 4
1468, ocean, minecraft:deep_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
1469, ocean, minecraft:deep_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
1470, ocean, minecraft:deep_ocean, MONSTER, minecraft:creeper, 80, 4, 4
1471, ocean, minecraft:deep_ocean, MONSTER, minecraft:slime, 80, 4, 4
1472, ocean, minecraft:deep_ocean, MONSTER, minecraft:enderman, 5, 1, 4
1473, ocean, minecraft:deep_ocean, MONSTER, minecraft:witch, 5, 1, 1
1474, ocean, minecraft:deep_ocean, MONSTER, minecraft:drowned, 5, 1, 1
1475, ocean, minecraft:deep_ocean, MONSTER, quark:stoneling, 80, 1, 1
1476, ocean, minecraft:deep_ocean, MONSTER, quark:toretoise, 80, 2, 4
1477, ocean, minecraft:deep_ocean, AMBIENT, minecraft:bat, 10, 8, 8
1478, ocean, minecraft:deep_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1479, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:squid, 3, 1, 4
1480, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:dolphin, 3, 1, 2
1481, ocean, minecraft:deep_ocean, WATER_CREATURE, alexsmobs:cachalot_whale, 3, 1, 2
1482, ocean, minecraft:deep_ocean, WATER_CREATURE, alexsmobs:frilled_shark, 11, 1, 1
1483, ocean, minecraft:deep_ocean, WATER_CREATURE, alexsmobs:giant_squid, 3, 1, 2
1484, ocean, minecraft:deep_ocean, WATER_AMBIENT, minecraft:cod, 10, 3, 6
1485, ocean, minecraft:deep_ocean, WATER_AMBIENT, aquaculture:tuna, 3, 1, 1
1486, ocean, minecraft:deep_ocean, WATER_AMBIENT, aquaculture:atlantic_halibut, 3, 1, 1
1487, ocean, minecraft:deep_ocean, WATER_AMBIENT, aquaculture:atlantic_herring, 20, 1, 6
1488, ocean, minecraft:deep_ocean, WATER_AMBIENT, aquaculture:red_grouper, 6, 1, 2
1489, ocean, minecraft:deep_ocean, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
1490, ocean, minecraft:deep_ocean, WATER_AMBIENT, alexsmobs:blobfish, 30, 2, 2
1491, ocean, minecraft:deep_ocean, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
1492, ocean, minecraft:cold_ocean, MONSTER, minecraft:spider, 80, 4, 4
1493, ocean, minecraft:cold_ocean, MONSTER, minecraft:zombie, 80, 4, 4
1494, ocean, minecraft:cold_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
1495, ocean, minecraft:cold_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
1496, ocean, minecraft:cold_ocean, MONSTER, minecraft:creeper, 80, 4, 4
1497, ocean, minecraft:cold_ocean, MONSTER, minecraft:slime, 80, 4, 4
1498, ocean, minecraft:cold_ocean, MONSTER, minecraft:enderman, 5, 1, 4
1499, ocean, minecraft:cold_ocean, MONSTER, minecraft:witch, 5, 1, 1
1500, ocean, minecraft:cold_ocean, MONSTER, minecraft:drowned, 5, 1, 1
1501, ocean, minecraft:cold_ocean, MONSTER, quark:stoneling, 80, 1, 1
1502, ocean, minecraft:cold_ocean, MONSTER, quark:toretoise, 80, 2, 4
1503, ocean, minecraft:cold_ocean, AMBIENT, minecraft:bat, 10, 8, 8
