5482, none, beyond_earth:infernal_venus_barrens, CREATURE, ars_nouveau:drygmy,0,1,1
3603, swamp, biomesoplenty:marsh, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
3595, swamp, biomesoplenty:marsh, AMBIENT, minecraft:bat,10,8,8
3598, swamp, biomesoplenty:marsh, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
3590, swamp, biomesoplenty:marsh, CREATURE, alexsmobs:anaconda,12,1,1
3605, swamp, biomesoplenty:marsh, WATER_AMBIENT, aquaculture:minnow,18,1,5
3589, swamp, biomesoplenty:marsh, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
3604, swamp, biomesoplenty:marsh, WATER_AMBIENT, aquaculture:bluegill,20,1,6
3606, swamp, biomesoplenty:marsh, WATER_AMBIENT, aquaculture:perch,20,1,6
3583, swamp, biomesoplenty:marsh, MONSTER, ars_nouveau:wilden_hunter,30,1,1
3582, swamp, biomesoplenty:marsh, MONSTER, ars_nouveau:wilden_stalker,30,3,3
3587, swamp, biomesoplenty:marsh, CREATURE, alexsmobs:crocodile,40,1,2
3594, swamp, biomesoplenty:marsh, CREATURE, quark:frog,40,1,3
3570, swamp, biomesoplenty:marsh, MONSTER, minecraft:creeper,80,4,4
3569, swamp, biomesoplenty:marsh, MONSTER, minecraft:skeleton,80,4,4
3571, swamp, biomesoplenty:marsh, MONSTER, minecraft:slime,80,4,4
3566, swamp, biomesoplenty:marsh, MONSTER, minecraft:spider,80,4,4
3567, swamp, biomesoplenty:marsh, MONSTER, minecraft:zombie,80,4,4
3585, swamp, biomesoplenty:marsh, MONSTER, quark:stoneling,80,1,1
3584, swamp, biomesoplenty:marsh, MONSTER, quark:toretoise,80,2,4
3640, forest, biomesoplenty:mediterranean_forest, AMBIENT, alexsmobs:fly,3,2,3
3643, forest, biomesoplenty:mediterranean_forest, WATER_AMBIENT, aquaculture:catfish,3,1,1
3646, forest, biomesoplenty:mediterranean_forest, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
3638, forest, biomesoplenty:mediterranean_forest, CREATURE, ars_nouveau:drygmy,3,1,1
3617, forest, biomesoplenty:mediterranean_forest, MONSTER, instrumentalmobs:drum_zombie,3,4,4
3619, forest, biomesoplenty:mediterranean_forest, MONSTER, instrumentalmobs:french_horn_creeper,3,4,4
3616, forest, biomesoplenty:mediterranean_forest, MONSTER, instrumentalmobs:maraca_spider,3,4,4
3620, forest, biomesoplenty:mediterranean_forest, MONSTER, instrumentalmobs:tuba_enderman,3,1,4
3618, forest, biomesoplenty:mediterranean_forest, MONSTER, instrumentalmobs:xylophone_skeleton,3,4,4
3621, forest, biomesoplenty:mediterranean_forest, MONSTER, restored_earth:viler_witch,3,1,1
3641, forest, biomesoplenty:mediterranean_forest, AMBIENT, alexsmobs:cockroach,4,5,5
3636, forest, biomesoplenty:mediterranean_forest, CREATURE, ars_nouveau:starbuncle,4,1,1
3637, forest, biomesoplenty:mediterranean_forest, CREATURE, ars_nouveau:whirlisprig,5,1,1
3614, forest, biomesoplenty:mediterranean_forest, MONSTER, minecraft:enderman,5,1,4
3615, forest, biomesoplenty:mediterranean_forest, MONSTER, minecraft:witch,5,1,1
3610, forest, biomesoplenty:mediterranean_forest, MONSTER, minecraft:zombie_villager,5,1,1
3651, forest, biomesoplenty:mediterranean_forest, WATER_AMBIENT, aquaculture:gar,6,1,2
3622, forest, biomesoplenty:mediterranean_forest, MONSTER, restored_earth:bouldering_zombie,6,1,1
3623, forest, biomesoplenty:mediterranean_forest, MONSTER, alexsmobs:centipede_head,8,1,1
3632, forest, biomesoplenty:mediterranean_forest, CREATURE, alexsmobs:grizzly_bear,8,2,3
3631, forest, biomesoplenty:mediterranean_forest, CREATURE, minecraft:cow,8,4,4
3634, forest, biomesoplenty:mediterranean_forest, CREATURE, alexsmobs:crow,10,3,5
3633, forest, biomesoplenty:mediterranean_forest, CREATURE, alexsmobs:raccoon,10,2,4
3635, forest, biomesoplenty:mediterranean_forest, CREATURE, alexsmobs:tasmanian_devil,10,1,2
3645, forest, biomesoplenty:mediterranean_forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
3644, forest, biomesoplenty:mediterranean_forest, WATER_AMBIENT, aquaculture:carp,10,1,3
3647, forest, biomesoplenty:mediterranean_forest, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
3639, forest, biomesoplenty:mediterranean_forest, AMBIENT, minecraft:bat,10,8,8
3630, forest, biomesoplenty:mediterranean_forest, CREATURE, minecraft:chicken,10,4,4
3642, forest, biomesoplenty:mediterranean_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
3629, forest, biomesoplenty:mediterranean_forest, CREATURE, minecraft:pig,10,4,4
3628, forest, biomesoplenty:mediterranean_forest, CREATURE, minecraft:sheep,12,4,4
3649, forest, biomesoplenty:mediterranean_forest, WATER_AMBIENT, aquaculture:minnow,18,1,5
3648, forest, biomesoplenty:mediterranean_forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
3650, forest, biomesoplenty:mediterranean_forest, WATER_AMBIENT, aquaculture:perch,20,1,6
3625, forest, biomesoplenty:mediterranean_forest, MONSTER, ars_nouveau:wilden_hunter,30,1,1
3624, forest, biomesoplenty:mediterranean_forest, MONSTER, ars_nouveau:wilden_stalker,30,3,3
3612, forest, biomesoplenty:mediterranean_forest, MONSTER, minecraft:creeper,80,4,4
3611, forest, biomesoplenty:mediterranean_forest, MONSTER, minecraft:skeleton,80,4,4
3613, forest, biomesoplenty:mediterranean_forest, MONSTER, minecraft:slime,80,4,4
3608, forest, biomesoplenty:mediterranean_forest, MONSTER, minecraft:spider,80,4,4
3609, forest, biomesoplenty:mediterranean_forest, MONSTER, minecraft:zombie,80,4,4
3627, forest, biomesoplenty:mediterranean_forest, MONSTER, quark:stoneling,80,1,1
3626, forest, biomesoplenty:mediterranean_forest, MONSTER, quark:toretoise,80,2,4
3681, forest, biomesoplenty:mediterranean_lakes, AMBIENT, alexsmobs:fly,3,2,3
3684, forest, biomesoplenty:mediterranean_lakes, WATER_AMBIENT, aquaculture:catfish,3,1,1
3687, forest, biomesoplenty:mediterranean_lakes, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
3679, forest, biomesoplenty:mediterranean_lakes, CREATURE, ars_nouveau:drygmy,3,1,1
3661, forest, biomesoplenty:mediterranean_lakes, MONSTER, instrumentalmobs:drum_zombie,3,4,4
3663, forest, biomesoplenty:mediterranean_lakes, MONSTER, instrumentalmobs:french_horn_creeper,3,4,4
3660, forest, biomesoplenty:mediterranean_lakes, MONSTER, instrumentalmobs:maraca_spider,3,4,4
3664, forest, biomesoplenty:mediterranean_lakes, MONSTER, instrumentalmobs:tuba_enderman,3,1,4
3662, forest, biomesoplenty:mediterranean_lakes, MONSTER, instrumentalmobs:xylophone_skeleton,3,4,4
3665, forest, biomesoplenty:mediterranean_lakes, MONSTER, restored_earth:viler_witch,3,1,1
3682, forest, biomesoplenty:mediterranean_lakes, AMBIENT, alexsmobs:cockroach,4,5,5
3677, forest, biomesoplenty:mediterranean_lakes, CREATURE, ars_nouveau:starbuncle,4,1,1
3678, forest, biomesoplenty:mediterranean_lakes, CREATURE, ars_nouveau:whirlisprig,5,1,1
3658, forest, biomesoplenty:mediterranean_lakes, MONSTER, minecraft:enderman,5,1,4
3659, forest, biomesoplenty:mediterranean_lakes, MONSTER, minecraft:witch,5,1,1
3654, forest, biomesoplenty:mediterranean_lakes, MONSTER, minecraft:zombie_villager,5,1,1
3692, forest, biomesoplenty:mediterranean_lakes, WATER_AMBIENT, aquaculture:gar,6,1,2
3666, forest, biomesoplenty:mediterranean_lakes, MONSTER, restored_earth:bouldering_zombie,6,1,1
3667, forest, biomesoplenty:mediterranean_lakes, MONSTER, alexsmobs:centipede_head,8,1,1
3676, forest, biomesoplenty:mediterranean_lakes, CREATURE, alexsmobs:grizzly_bear,8,2,3
3675, forest, biomesoplenty:mediterranean_lakes, CREATURE, minecraft:cow,8,4,4
3686, forest, biomesoplenty:mediterranean_lakes, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
3685, forest, biomesoplenty:mediterranean_lakes, WATER_AMBIENT, aquaculture:carp,10,1,3
3688, forest, biomesoplenty:mediterranean_lakes, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
3680, forest, biomesoplenty:mediterranean_lakes, AMBIENT, minecraft:bat,10,8,8
3674, forest, biomesoplenty:mediterranean_lakes, CREATURE, minecraft:chicken,10,4,4
3683, forest, biomesoplenty:mediterranean_lakes, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
3673, forest, biomesoplenty:mediterranean_lakes, CREATURE, minecraft:pig,10,4,4
3672, forest, biomesoplenty:mediterranean_lakes, CREATURE, minecraft:sheep,12,4,4
3690, forest, biomesoplenty:mediterranean_lakes, WATER_AMBIENT, aquaculture:minnow,18,1,5
3689, forest, biomesoplenty:mediterranean_lakes, WATER_AMBIENT, aquaculture:bluegill,20,1,6
3691, forest, biomesoplenty:mediterranean_lakes, WATER_AMBIENT, aquaculture:perch,20,1,6
3669, forest, biomesoplenty:mediterranean_lakes, MONSTER, ars_nouveau:wilden_hunter,30,1,1
3668, forest, biomesoplenty:mediterranean_lakes, MONSTER, ars_nouveau:wilden_stalker,30,3,3
3656, forest, biomesoplenty:mediterranean_lakes, MONSTER, minecraft:creeper,80,4,4
3655, forest, biomesoplenty:mediterranean_lakes, MONSTER, minecraft:skeleton,80,4,4
3657, forest, biomesoplenty:mediterranean_lakes, MONSTER, minecraft:slime,80,4,4
3652, forest, biomesoplenty:mediterranean_lakes, MONSTER, minecraft:spider,80,4,4
3653, forest, biomesoplenty:mediterranean_lakes, MONSTER, minecraft:zombie,80,4,4
3671, forest, biomesoplenty:mediterranean_lakes, MONSTER, quark:stoneling,80,1,1
3670, forest, biomesoplenty:mediterranean_lakes, MONSTER, quark:toretoise,80,2,4
3724, icy, biomesoplenty:muskeg, AMBIENT, alexsmobs:fly,3,2,3
3729, icy, biomesoplenty:muskeg, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
3721, icy, biomesoplenty:muskeg, CREATURE, ars_nouveau:drygmy,3,1,1
3702, icy, biomesoplenty:muskeg, MONSTER, instrumentalmobs:drum_zombie,3,4,4
3704, icy, biomesoplenty:muskeg, MONSTER, instrumentalmobs:french_horn_creeper,3,4,4
3701, icy, biomesoplenty:muskeg, MONSTER, instrumentalmobs:maraca_spider,3,4,4
3705, icy, biomesoplenty:muskeg, MONSTER, instrumentalmobs:tuba_enderman,3,1,4
3703, icy, biomesoplenty:muskeg, MONSTER, instrumentalmobs:xylophone_skeleton,3,4,4
3706, icy, biomesoplenty:muskeg, MONSTER, restored_earth:viler_witch,3,1,1
3725, icy, biomesoplenty:muskeg, AMBIENT, alexsmobs:cockroach,4,5,5
3699, icy, biomesoplenty:muskeg, MONSTER, minecraft:enderman,5,1,4
3700, icy, biomesoplenty:muskeg, MONSTER, minecraft:witch,5,1,1
3695, icy, biomesoplenty:muskeg, MONSTER, minecraft:zombie_villager,5,1,1
3707, icy, biomesoplenty:muskeg, MONSTER, restored_earth:bouldering_zombie,6,1,1
3708, icy, biomesoplenty:muskeg, MONSTER, alexsmobs:centipede_head,8,1,1
3714, icy, biomesoplenty:muskeg, CREATURE, waddles:adelie_penguin,8,1,4
3717, icy, biomesoplenty:muskeg, CREATURE, alexsmobs:shoebill,10,1,2
3715, icy, biomesoplenty:muskeg, CREATURE, aquaculture:box_turtle,10,1,2
3728, icy, biomesoplenty:muskeg, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
3727, icy, biomesoplenty:muskeg, WATER_AMBIENT, aquaculture:carp,10,1,3
3723, icy, biomesoplenty:muskeg, AMBIENT, minecraft:bat,10,8,8
3726, icy, biomesoplenty:muskeg, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
3720, icy, biomesoplenty:muskeg, CREATURE, alexsmobs:anaconda,12,1,1
3719, icy, biomesoplenty:muskeg, CREATURE, alexsmobs:tusklin,18,3,5
3731, icy, biomesoplenty:muskeg, WATER_AMBIENT, aquaculture:minnow,18,1,5
3718, icy, biomesoplenty:muskeg, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
3730, icy, biomesoplenty:muskeg, WATER_AMBIENT, aquaculture:bluegill,20,1,6
3732, icy, biomesoplenty:muskeg, WATER_AMBIENT, aquaculture:perch,20,1,6
3709, icy, biomesoplenty:muskeg, MONSTER, ars_nouveau:wilden_guardian,30,1,1
3711, icy, biomesoplenty:muskeg, MONSTER, ars_nouveau:wilden_hunter,30,1,1
3710, icy, biomesoplenty:muskeg, MONSTER, ars_nouveau:wilden_stalker,30,3,3
3716, icy, biomesoplenty:muskeg, CREATURE, alexsmobs:crocodile,40,1,2
3722, icy, biomesoplenty:muskeg, CREATURE, quark:frog,40,1,3
3697, icy, biomesoplenty:muskeg, MONSTER, minecraft:creeper,80,4,4
3696, icy, biomesoplenty:muskeg, MONSTER, minecraft:skeleton,80,4,4
3698, icy, biomesoplenty:muskeg, MONSTER, minecraft:slime,80,4,4
3693, icy, biomesoplenty:muskeg, MONSTER, minecraft:spider,80,4,4
3694, icy, biomesoplenty:muskeg, MONSTER, minecraft:zombie,80,4,4
3713, icy, biomesoplenty:muskeg, MONSTER, quark:stoneling,80,1,1
3712, icy, biomesoplenty:muskeg, MONSTER, quark:toretoise,80,2,4
3753, forest, biomesoplenty:mystic_grove, AMBIENT, alexsmobs:fly,3,2,3
3756, forest, biomesoplenty:mystic_grove, WATER_AMBIENT, aquaculture:catfish,3,1,1
3759, forest, biomesoplenty:mystic_grove, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
3751, forest, biomesoplenty:mystic_grove, CREATURE, ars_nouveau:drygmy,3,1,1
3736, forest, biomesoplenty:mystic_grove, MONSTER, restored_earth:viler_witch,3,1,1
3754, forest, biomesoplenty:mystic_grove, AMBIENT, alexsmobs:cockroach,4,5,5
3749, forest, biomesoplenty:mystic_grove, CREATURE, ars_nouveau:starbuncle,4,1,1
3743, forest, biomesoplenty:mystic_grove, CREATURE, minecraft:rabbit,4,2,3
3750, forest, biomesoplenty:mystic_grove, CREATURE, ars_nouveau:whirlisprig,5,1,1
3735, forest, biomesoplenty:mystic_grove, MONSTER, minecraft:witch,5,1,1
3733, forest, biomesoplenty:mystic_grove, MONSTER, minecraft:zombie_villager,5,1,1
3764, forest, biomesoplenty:mystic_grove, WATER_AMBIENT, aquaculture:gar,6,1,2
3737, forest, biomesoplenty:mystic_grove, MONSTER, restored_earth:bouldering_zombie,6,1,1
3738, forest, biomesoplenty:mystic_grove, MONSTER, alexsmobs:centipede_head,8,1,1
3745, forest, biomesoplenty:mystic_grove, CREATURE, alexsmobs:grizzly_bear,8,2,3
3744, forest, biomesoplenty:mystic_grove, CREATURE, minecraft:fox,8,2,4
3747, forest, biomesoplenty:mystic_grove, CREATURE, alexsmobs:crow,10,3,5
3746, forest, biomesoplenty:mystic_grove, CREATURE, alexsmobs:raccoon,10,2,4
3748, forest, biomesoplenty:mystic_grove, CREATURE, alexsmobs:tasmanian_devil,10,1,2
3758, forest, biomesoplenty:mystic_grove, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
3757, forest, biomesoplenty:mystic_grove, WATER_AMBIENT, aquaculture:carp,10,1,3
3760, forest, biomesoplenty:mystic_grove, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
3752, forest, biomesoplenty:mystic_grove, AMBIENT, minecraft:bat,10,8,8
3755, forest, biomesoplenty:mystic_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
3762, forest, biomesoplenty:mystic_grove, WATER_AMBIENT, aquaculture:minnow,18,1,5
3761, forest, biomesoplenty:mystic_grove, WATER_AMBIENT, aquaculture:bluegill,20,1,6
3763, forest, biomesoplenty:mystic_grove, WATER_AMBIENT, aquaculture:perch,20,1,6
3740, forest, biomesoplenty:mystic_grove, MONSTER, ars_nouveau:wilden_hunter,30,1,1
3739, forest, biomesoplenty:mystic_grove, MONSTER, ars_nouveau:wilden_stalker,30,3,3
3734, forest, biomesoplenty:mystic_grove, MONSTER, minecraft:slime,80,4,4
3742, forest, biomesoplenty:mystic_grove, MONSTER, quark:stoneling,80,1,1
3741, forest, biomesoplenty:mystic_grove, MONSTER, quark:toretoise,80,2,4
3791, taiga, biomesoplenty:old_growth_dead_forest, AMBIENT, alexsmobs:fly,3,2,3
3794, taiga, biomesoplenty:old_growth_dead_forest, WATER_AMBIENT, aquaculture:catfish,3,1,1
3797, taiga, biomesoplenty:old_growth_dead_forest, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
3789, taiga, biomesoplenty:old_growth_dead_forest, CREATURE, ars_nouveau:drygmy,3,1,1
3774, taiga, biomesoplenty:old_growth_dead_forest, MONSTER, instrumentalmobs:drum_zombie,3,4,4
3776, taiga, biomesoplenty:old_growth_dead_forest, MONSTER, instrumentalmobs:french_horn_creeper,3,4,4
3773, taiga, biomesoplenty:old_growth_dead_forest, MONSTER, instrumentalmobs:maraca_spider,3,4,4
3777, taiga, biomesoplenty:old_growth_dead_forest, MONSTER, instrumentalmobs:tuba_enderman,3,1,4
3775, taiga, biomesoplenty:old_growth_dead_forest, MONSTER, instrumentalmobs:xylophone_skeleton,3,4,4
3778, taiga, biomesoplenty:old_growth_dead_forest, MONSTER, restored_earth:viler_witch,3,1,1
3792, taiga, biomesoplenty:old_growth_dead_forest, AMBIENT, alexsmobs:cockroach,4,5,5
3771, taiga, biomesoplenty:old_growth_dead_forest, MONSTER, minecraft:enderman,5,1,4
3772, taiga, biomesoplenty:old_growth_dead_forest, MONSTER, minecraft:witch,5,1,1
3767, taiga, biomesoplenty:old_growth_dead_forest, MONSTER, minecraft:zombie_villager,5,1,1
3802, taiga, biomesoplenty:old_growth_dead_forest, WATER_AMBIENT, aquaculture:gar,6,1,2
3779, taiga, biomesoplenty:old_growth_dead_forest, MONSTER, restored_earth:bouldering_zombie,6,1,1
3780, taiga, biomesoplenty:old_growth_dead_forest, MONSTER, alexsmobs:centipede_head,8,1,1
3786, taiga, biomesoplenty:old_growth_dead_forest, CREATURE, alexsmobs:grizzly_bear,8,2,3
3788, taiga, biomesoplenty:old_growth_dead_forest, CREATURE, alexsmobs:crow,10,3,5
3787, taiga, biomesoplenty:old_growth_dead_forest, CREATURE, alexsmobs:raccoon,10,2,4
3796, taiga, biomesoplenty:old_growth_dead_forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
3795, taiga, biomesoplenty:old_growth_dead_forest, WATER_AMBIENT, aquaculture:carp,10,1,3
3798, taiga, biomesoplenty:old_growth_dead_forest, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
3790, taiga, biomesoplenty:old_growth_dead_forest, AMBIENT, minecraft:bat,10,8,8
3793, taiga, biomesoplenty:old_growth_dead_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
3800, taiga, biomesoplenty:old_growth_dead_forest, WATER_AMBIENT, aquaculture:minnow,18,1,5
3799, taiga, biomesoplenty:old_growth_dead_forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
3801, taiga, biomesoplenty:old_growth_dead_forest, WATER_AMBIENT, aquaculture:perch,20,1,6
3781, taiga, biomesoplenty:old_growth_dead_forest, MONSTER, ars_nouveau:wilden_guardian,30,1,1
3783, taiga, biomesoplenty:old_growth_dead_forest, MONSTER, ars_nouveau:wilden_hunter,30,1,1
3782, taiga, biomesoplenty:old_growth_dead_forest, MONSTER, ars_nouveau:wilden_stalker,30,3,3
3769, taiga, biomesoplenty:old_growth_dead_forest, MONSTER, minecraft:creeper,80,4,4
3768, taiga, biomesoplenty:old_growth_dead_forest, MONSTER, minecraft:skeleton,80,4,4
3770, taiga, biomesoplenty:old_growth_dead_forest, MONSTER, minecraft:slime,80,4,4
3765, taiga, biomesoplenty:old_growth_dead_forest, MONSTER, minecraft:spider,80,4,4
3766, taiga, biomesoplenty:old_growth_dead_forest, MONSTER, minecraft:zombie,80,4,4
3785, taiga, biomesoplenty:old_growth_dead_forest, MONSTER, quark:stoneling,80,1,1
3784, taiga, biomesoplenty:old_growth_dead_forest, MONSTER, quark:toretoise,80,2,4
3835, forest, biomesoplenty:old_growth_woodland, AMBIENT, alexsmobs:fly,3,2,3
3838, forest, biomesoplenty:old_growth_woodland, WATER_AMBIENT, aquaculture:catfish,3,1,1
3841, forest, biomesoplenty:old_growth_woodland, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
3833, forest, biomesoplenty:old_growth_woodland, CREATURE, ars_nouveau:drygmy,3,1,1
3812, forest, biomesoplenty:old_growth_woodland, MONSTER, instrumentalmobs:drum_zombie,3,4,4
3814, forest, biomesoplenty:old_growth_woodland, MONSTER, instrumentalmobs:french_horn_creeper,3,4,4
3811, forest, biomesoplenty:old_growth_woodland, MONSTER, instrumentalmobs:maraca_spider,3,4,4
3815, forest, biomesoplenty:old_growth_woodland, MONSTER, instrumentalmobs:tuba_enderman,3,1,4
3813, forest, biomesoplenty:old_growth_woodland, MONSTER, instrumentalmobs:xylophone_skeleton,3,4,4
3816, forest, biomesoplenty:old_growth_woodland, MONSTER, restored_earth:viler_witch,3,1,1
3836, forest, biomesoplenty:old_growth_woodland, AMBIENT, alexsmobs:cockroach,4,5,5
3831, forest, biomesoplenty:old_growth_woodland, CREATURE, ars_nouveau:starbuncle,4,1,1
3832, forest, biomesoplenty:old_growth_woodland, CREATURE, ars_nouveau:whirlisprig,5,1,1
3809, forest, biomesoplenty:old_growth_woodland, MONSTER, minecraft:enderman,5,1,4
3810, forest, biomesoplenty:old_growth_woodland, MONSTER, minecraft:witch,5,1,1
3805, forest, biomesoplenty:old_growth_woodland, MONSTER, minecraft:zombie_villager,5,1,1
3846, forest, biomesoplenty:old_growth_woodland, WATER_AMBIENT, aquaculture:gar,6,1,2
3817, forest, biomesoplenty:old_growth_woodland, MONSTER, restored_earth:bouldering_zombie,6,1,1
3818, forest, biomesoplenty:old_growth_woodland, MONSTER, alexsmobs:centipede_head,8,1,1
3827, forest, biomesoplenty:old_growth_woodland, CREATURE, alexsmobs:grizzly_bear,8,2,3
3826, forest, biomesoplenty:old_growth_woodland, CREATURE, minecraft:cow,8,4,4
3829, forest, biomesoplenty:old_growth_woodland, CREATURE, alexsmobs:crow,10,3,5
3828, forest, biomesoplenty:old_growth_woodland, CREATURE, alexsmobs:raccoon,10,2,4
3830, forest, biomesoplenty:old_growth_woodland, CREATURE, alexsmobs:tasmanian_devil,10,1,2
3840, forest, biomesoplenty:old_growth_woodland, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
3839, forest, biomesoplenty:old_growth_woodland, WATER_AMBIENT, aquaculture:carp,10,1,3
3842, forest, biomesoplenty:old_growth_woodland, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
3834, forest, biomesoplenty:old_growth_woodland, AMBIENT, minecraft:bat,10,8,8
3825, forest, biomesoplenty:old_growth_woodland, CREATURE, minecraft:chicken,10,4,4
3837, forest, biomesoplenty:old_growth_woodland, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
3824, forest, biomesoplenty:old_growth_woodland, CREATURE, minecraft:pig,10,4,4
3823, forest, biomesoplenty:old_growth_woodland, CREATURE, minecraft:sheep,12,4,4
3844, forest, biomesoplenty:old_growth_woodland, WATER_AMBIENT, aquaculture:minnow,18,1,5
3843, forest, biomesoplenty:old_growth_woodland, WATER_AMBIENT, aquaculture:bluegill,20,1,6
3845, forest, biomesoplenty:old_growth_woodland, WATER_AMBIENT, aquaculture:perch,20,1,6
3820, forest, biomesoplenty:old_growth_woodland, MONSTER, ars_nouveau:wilden_hunter,30,1,1
3819, forest, biomesoplenty:old_growth_woodland, MONSTER, ars_nouveau:wilden_stalker,30,3,3
3807, forest, biomesoplenty:old_growth_woodland, MONSTER, minecraft:creeper,80,4,4
3806, forest, biomesoplenty:old_growth_woodland, MONSTER, minecraft:skeleton,80,4,4
3808, forest, biomesoplenty:old_growth_woodland, MONSTER, minecraft:slime,80,4,4
3803, forest, biomesoplenty:old_growth_woodland, MONSTER, minecraft:spider,80,4,4
3804, forest, biomesoplenty:old_growth_woodland, MONSTER, minecraft:zombie,80,4,4
3822, forest, biomesoplenty:old_growth_woodland, MONSTER, quark:stoneling,80,1,1
3821, forest, biomesoplenty:old_growth_woodland, MONSTER, quark:toretoise,80,2,4
3866, taiga, biomesoplenty:ominous_woods, AMBIENT, alexsmobs:fly,3,2,3
3869, taiga, biomesoplenty:ominous_woods, WATER_AMBIENT, aquaculture:catfish,3,1,1
3872, taiga, biomesoplenty:ominous_woods, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
3864, taiga, biomesoplenty:ominous_woods, CREATURE, ars_nouveau:drygmy,3,1,1
3852, taiga, biomesoplenty:ominous_woods, MONSTER, instrumentalmobs:maraca_spider,3,4,4
3853, taiga, biomesoplenty:ominous_woods, MONSTER, instrumentalmobs:tuba_enderman,3,1,4
3854, taiga, biomesoplenty:ominous_woods, MONSTER, restored_earth:viler_witch,3,1,1
3867, taiga, biomesoplenty:ominous_woods, AMBIENT, alexsmobs:cockroach,4,5,5
3850, taiga, biomesoplenty:ominous_woods, MONSTER, minecraft:enderman,5,1,4
3851, taiga, biomesoplenty:ominous_woods, MONSTER, minecraft:witch,5,1,1
3877, taiga, biomesoplenty:ominous_woods, WATER_AMBIENT, aquaculture:gar,6,1,2
3855, taiga, biomesoplenty:ominous_woods, MONSTER, restored_earth:bouldering_zombie,6,1,1
3856, taiga, biomesoplenty:ominous_woods, MONSTER, alexsmobs:centipede_head,8,1,1
3861, taiga, biomesoplenty:ominous_woods, CREATURE, alexsmobs:grizzly_bear,8,2,3
3863, taiga, biomesoplenty:ominous_woods, CREATURE, alexsmobs:crow,10,3,5
3862, taiga, biomesoplenty:ominous_woods, CREATURE, alexsmobs:raccoon,10,2,4
3871, taiga, biomesoplenty:ominous_woods, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
3870, taiga, biomesoplenty:ominous_woods, WATER_AMBIENT, aquaculture:carp,10,1,3
3873, taiga, biomesoplenty:ominous_woods, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
3865, taiga, biomesoplenty:ominous_woods, AMBIENT, minecraft:bat,10,8,8
3868, taiga, biomesoplenty:ominous_woods, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
3875, taiga, biomesoplenty:ominous_woods, WATER_AMBIENT, aquaculture:minnow,18,1,5
3874, taiga, biomesoplenty:ominous_woods, WATER_AMBIENT, aquaculture:bluegill,20,1,6
3876, taiga, biomesoplenty:ominous_woods, WATER_AMBIENT, aquaculture:perch,20,1,6
3858, taiga, biomesoplenty:ominous_woods, MONSTER, ars_nouveau:wilden_hunter,30,1,1
3857, taiga, biomesoplenty:ominous_woods, MONSTER, ars_nouveau:wilden_stalker,30,3,3
3847, taiga, biomesoplenty:ominous_woods, MONSTER, minecraft:illusioner,50,2,4
3849, taiga, biomesoplenty:ominous_woods, MONSTER, minecraft:slime,80,4,4
3848, taiga, biomesoplenty:ominous_woods, MONSTER, minecraft:spider,80,4,4
3860, taiga, biomesoplenty:ominous_woods, MONSTER, quark:stoneling,80,1,1
3859, taiga, biomesoplenty:ominous_woods, MONSTER, quark:toretoise,80,2,4
3911, forest, biomesoplenty:orchard, AMBIENT, alexsmobs:fly,3,2,3
3914, forest, biomesoplenty:orchard, WATER_AMBIENT, aquaculture:catfish,3,1,1
3917, forest, biomesoplenty:orchard, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
3909, forest, biomesoplenty:orchard, CREATURE, ars_nouveau:drygmy,3,1,1
